"","Date","Plant","Water","Mean_water","Depth","Block","date","year","month"
"153","14/06/2012","G","A","9.79657979700277","-12.5","L",2012-06-14,2012,"summer"
"154","14/06/2012","G","A","10.31617713078","-12.5","L",2012-06-14,2012,"summer"
"155","14/06/2012","G","R","10.0107449859766","-12.5","R",2012-06-14,2012,"summer"
"156","14/06/2012","G","X","9.85751111522594","-12.5","R",2012-06-14,2012,"summer"
"157","14/06/2012","G","A","10.5980737088308","-12.5","L",2012-06-14,2012,"summer"
"158","14/06/2012","G","R","9.132256024794","-12.5","R",2012-06-14,2012,"summer"
"159","14/06/2012","G","R","9.66872762037593","-12.5","R",2012-06-14,2012,"summer"
"160","14/06/2012","G","X","9.30097886688065","-12.5","R",2012-06-14,2012,"summer"
"161","14/06/2012","G","A","8.64113136384429","-12.5","R",2012-06-14,2012,"summer"
"162","14/06/2012","G","X","10.1429780195209","-12.5","R",2012-06-14,2012,"summer"
"163","14/06/2012","G","X","9.98383006038569","-12.5","L",2012-06-14,2012,"summer"
"164","14/06/2012","G","R","9.00170419467953","-12.5","L",2012-06-14,2012,"summer"
"165","14/06/2012","G","R","10.31617713078","-12.5","L",2012-06-14,2012,"summer"
"166","14/06/2012","G","X","9.54048966945746","-12.5","L",2012-06-14,2012,"summer"
"167","14/06/2012","G","A","9.22146759993733","-12.5","L",2012-06-14,2012,"summer"
"168","14/06/2012","G","A","10.1803470638348","-12.5","R",2012-06-14,2012,"summer"
"169","20/07/2012","G","X","9.32671025477529","-12.5","R",2012-07-20,2012,"summer"
"170","20/07/2012","G","A","9.50650963917327","-12.5","R",2012-07-20,2012,"summer"
"171","20/07/2012","G","R","9.68787669006088","-12.5","L",2012-07-20,2012,"summer"
"172","20/07/2012","G","X","10.5668096879398","-12.5","L",2012-07-20,2012,"summer"
"173","20/07/2012","G","R","9.32671704852873","-12.5","R",2012-07-20,2012,"summer"
"174","20/07/2012","G","A","10.1913545866981","-12.5","R",2012-07-20,2012,"summer"
"175","20/07/2012","G","R","10.4963400900043","-12.5","L",2012-07-20,2012,"summer"
"176","20/07/2012","G","X","10.0684891662719","-12.5","L",2012-07-20,2012,"summer"
"177","20/07/2012","G","A",NA,"-12.5","L",2012-07-20,2012,"summer"
"178","20/07/2012","G","A","9.47865424731213","-12.5","L",2012-07-20,2012,"summer"
"179","20/07/2012","G","R","9.70503053623713","-12.5","R",2012-07-20,2012,"summer"
"180","20/07/2012","G","X","9.68292236029029","-12.5","R",2012-07-20,2012,"summer"
"181","20/07/2012","G","A","9.49413886544028","-12.5","L",2012-07-20,2012,"summer"
"182","20/07/2012","G","R","8.4822303170956","-12.5","R",2012-07-20,2012,"summer"
"183","20/07/2012","G","R","8.70096106675509","-12.5","R",2012-07-20,2012,"summer"
"184","20/07/2012","G","X",NA,"-12.5","R",2012-07-20,2012,"summer"
