"","jar","jar_weight","plot","plant","depth","soil_jar","density_40","density_2H","clay_p","silt_p","sand_p"
"91",91,201.75,"G19L","G",45,246.38,1.0085,1.0051,11.4272910598255,7.61819403988315,80.9545149002914
"92",92,214.79,"G20L","G",45,258.38,1.01,1.0067,15.3704978206009,7.57054370268429,77.0589584767148
"93",93,202.06,"G21L","G",45,246.72,1.0093,1.006,13.4348410210479,7.38916256157654,79.1759964173755
"94",94,175.51,"G22L","G",45,220.16,1.0105,1.007,15.6774916013435,7.83874580067203,76.4837625979844
"95",95,210.69,"G23L","G",45,254.83,1.01,1.0072,16.3117353874039,6.3434526506568,77.3448119619393
"96",96,194.96,"G24R","G",45,239.73,1.008,1.0043,9.60464596828227,8.26446280991745,82.1308912218003
"97",97,202.06,"G01R","G",100,246.62,1.0113,1.008,17.9533213644524,7.40574506283681,74.6409335727108
"98",98,211.38,"G02L","G",100,255.9,1.011,1.007,15.7232704402513,8.98472596585804,75.2920035938906
"99",99,174.44,"G03","G",100,219.07,1.011,1.007,15.6845171409364,8.96258122339234,75.3529016356713
"100",100,194.96,"G04L","G",100,240.07,1.01,1.007,15.5176235867876,6.65041010862361,77.8319663045888
"101",101,211.19,"G05R","G",100,256.11,1.0103,1.0075,16.6963490650046,6.2333036509348,77.0703472840606
"102",102,194.88,"G06R","G",100,239.78,1.009,1.006,13.3630289532294,6.68151447661446,79.9554565701561
"103",103,201.96,"G07L","G",100,247.05,1.01,1.0067,14.8591705477931,7.31869594145061,77.8221335107562
"104",104,210.34,"G08L","G",100,254.92,1.011,1.0081,18.1695827725437,6.50515926424384,75.3252579632124
"105",105,195.53,"G09L","G",100,240.56,1.0105,1.0072,15.9893404397071,7.328447701532,76.6822118587609
"106",106,213.73,"G10L","G",100,259.01,1.01,1.0071,15.6802120141345,6.40459363957575,77.9151943462897
"107",107,175.4,"G11R","G",100,220.14,1.0095,1.0067,14.9754135002234,6.25838176128775,78.7662047384889
"108",108,212.18,"G12R","G",100,256.55,1.0102,1.0082,18.480955600631,4.50755014649538,77.0114942528736
"109",109,215.1,"G13L","G",100,254.95,1.0092,1.0068,17.0639899623586,6.0225846925977,76.9134253450437
"110",110,201.75,"G14R","G",100,246.55,1.007,1.0118,26.3392857142858,-10.714285714286,84.3750000000002
